OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI,LONG,LAT
45042,,,5168,BARWON HEADS ROAD/WARALILY BVD,INT,,,,,,,,OPERATIONAL,,,,,144.378,-38.237
45043,,,2015,MELBOURNE NR HOBART (KNOX CITY),POS,,,,,,,,OPERATIONAL,,,,,145.242,-37.869
45044,,,6273,MITCHELL/QUEEN,INT,,,,,,,,OPERATIONAL,,,,,144.28,-36.761
45045,,,520,MOOROODUC/SAGES,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.134,-38.196
45046,,,3629,CHURCHILL NR BRAYBROOK COMMUNITY CENTRE,POS,,,,,,,,OPERATIONAL,,,,,144.853,-37.786
45047,,,3170,STH GIPPS'D HWY (HIGHST) NR CHILDERS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.283,-38.112
45048,,,3171,STH GIPPS'D HWY (HIGH) NR LYALL,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.283,-38.109
45049,,,550,EASTBOURNE RD/VILLAGE GLEN DR,INT,,,,,,,,OPERATIONAL,,,,,144.879,-38.367
45050,,,3486,WILLIAMSTOWN/SHOPPING CENTRE ENT,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,144.883,-37.817
45051,,,516,SEAFORD/WELLS,INT,,,,,,,,OPERATIONAL,"ASB WARN,Bluetooth",,,,145.136,-38.109
45052,,,3259,MURRAY/NORTHLAND SHOP EAST ACCESS RD,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,145.028,-37.741
45053,,,3612,PASCOE VALE/TAGGERTY CRES STH,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,144.922,-37.662
45054,,,3487,WILLIAMSTOWN NR THOMAS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,144.881,-37.823
45055,,,4160,ST GEORGES NR KEMP,POS,,,,,,,,OPERATIONAL,,,,,144.993,-37.762
45056,,,395,HUTTON/CHAPEL,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.159,-38.013
45057,,,495,HUTTON/GREEN/PERRY,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.171,-38.011
45058,,,6258,CALDER HWY NR CAMP,POS,,,,,,,,OPERATIONAL,,,,,144.244,-36.796
45059,,,2855,GLADSTONE PARK NR BELMONT,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.884,-37.689
45060,,,6234,CALDER HWY NR VERDON ST,POS,,,,,,,,OPERATIONAL,PELICAN,,,,143.868,-36.575
45061,,,3443,CENTRE NR GILBERT,POS,,,,,,,,OPERATIONAL,"ASB WARN,Bluetooth",,,,145.032,-37.918
45062,,,5047,WESTERN BEACH NR GINN,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.356,-38.139
45063,,,965,STH GIPPSLAND HWY/WATERVIEW,INT,,,,,,,,OPERATIONAL,,,,,145.239,-38.021
45064,,,827,FERNTREE GULLY/WINDERMERE,INT,,,,,,,,OPERATIONAL,,,,,145.263,-37.888
45065,,,2839,CAMBERWELL NR EVANS,POS,,,,,,,,OPERATIONAL,,,,,145.056,-37.831
45066,,,513,BEACONSFIELD-BERWICK/B'FIELD-EMERALD,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.367,-38.044
45067,,,514,CRANBOURNE-FRANKSTON/UNION/PINDARA,INT,,,,,,,,OPERATIONAL,,,,,145.195,-38.151
45068,,,805,GEORGE/CHURCH,INT,,,,,,,,OPERATIONAL,,,,,145.139,-37.779
45069,,,396,NARRE WARREN NTH/MARAMBA,INT,,,,,,,,OPERATIONAL,,,,,145.31,-38.008
45070,,,7093,AQUEDUCT/ST HELENA SHOP CENTRE,INT,,,,,,,,OPERATIONAL,,,,,147.382,-37.698
45071,,,301,PLYMOUTH/YARRA,INT,,,,,,,,OPERATIONAL,,,,,145.274,-37.784
45072,,,4489,WESTGATE FWY/POWER,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,144.966,-37.827
45073,,,820,MONBULK/CLEGG,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.388,-37.79
45074,,,2465,JOHNSTON O/H LANE W CLARKE GANTRY 15,OH LANE,,,,,,,,OPERATIONAL,,,,,145.002,-37.801
45075,,,2466,JOHNSTON O/H LANE E CLARKE GANTRY 16,OH LANE,,,,,,,,OPERATIONAL,,,,,145.002,-37.801
45076,,,2444,QUEENS O'HEAD S KINGSWAY GANTRY 01,OH LANE,,,,,,,,OPERATIONAL,,,,,144.973,-37.837
45077,,,2456,JOHNSTON O/H LANE W HARMSWORTH GANTRY 6,OH LANE,,,,,,,,OPERATIONAL,,,,,144.991,-37.8
45078,,,2457,JOHNSTON O/H LANE W SYDNEY GANTRY 7,OH LANE,,,,,,,,OPERATIONAL,,,,,144.992,-37.8
45079,,,2458,JOHNSTON O/H LANE E HODDLE GANTRY 8,OH LANE,,,,,,,,OPERATIONAL,,,,,144.993,-37.8
45080,,,2459,JOHNSTON O/H LANE W PARK GANTRY 9,OH LANE,,,,,,,,OPERATIONAL,,,,,144.995,-37.8
45081,,,2460,JOHNSTON O/H LANE E PARK GANTRY 10,OH LANE,,,,,,,,OPERATIONAL,,,,,144.996,-37.8
45082,,,2461,JOHNSTON O/H LANE E RICH GANTRY 11,OH LANE,,,,,,,,OPERATIONAL,,,,,144.997,-37.8
45083,,,2462,JOHNSTON O/H LANE E HUNTER GANTRY 12,OH LANE,,,,,,,,OPERATIONAL,,,,,144.999,-37.8
45084,,,2463,JOHNSTON O/H LANE W TRENERRY GANTRY 13,OH LANE,,,,,,,,OPERATIONAL,,,,,145,-37.801
45085,,,302,CRANBOURNE-FRANK/SOUTHGATEWAY,INT,,,,,,,,OPERATIONAL,,,,,145.197,-38.149
45086,,,3281,HUNTINGDALE NR ESTELLE,POS,,,,,,,,OPERATIONAL,,,,,145.107,-37.893
45087,,,2518,SUNSHINE/ROBERTS,INT,,,,,,,,OPERATIONAL,,,,,144.872,-37.801
45088,,,2791,KEILOR NR COOPER,POS,,,,,,,,OPERATIONAL,,,,,144.899,-37.74
45089,,,109,SWANSEA/HULL,INT,,,,,,,,OPERATIONAL,,,,,145.363,-37.776
45090,,,1558,WGF 130m West of Williamstown Rd O/B,OH LANE,,,,,,,,OPERATIONAL,,,,,144.884,-37.825
45091,,,2486,CHADSTONE SHOPPING CENTRE POS AT ENT 1,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.079,-37.887
45092,,,963,CHELTENHAM/PARKMORE SHOP CENTRE,INT,,,,,,,,OPERATIONAL,,,,,145.173,-37.994
45093,,,5657,PHE/BAILEY,INT,,,,,,,,OPERATIONAL,DIDO,,,,147.632,-37.826
45094,,,1100,MAROONDAH HWY/EASTLINK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,145.217,-37.817
45095,,,1101,MAROONDAH HWY/HILLCREST/CARPARK,INT,,,,,,,,OPERATIONAL,,,,,145.215,-37.817
45096,,,4224,SWAN/YARRA/AMRAD,INT,,,,,,,,OPERATIONAL,PUFFIN,,,,145.02,-37.827
45097,,,5268,SAYERS/MORRIS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,144.706,-37.851
45098,,,403,NARRE WARREN NTH/MAGID/RYELANDS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.309,-38.014
45099,,,4434,FOOTSCRAY/WATERFRONT WAY,INT,,,,,,,,OPERATIONAL,,,,,144.939,-37.811
45100,,,4435,FOOTSCRAY/WESTERN LINK STH-BND OFF RAMP,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,144.936,-37.81
45101,,,336,BARKLY/RAILWAY/RING,INT,,,,,,,,OPERATIONAL,,,,,145.041,-38.22
45102,,,3079,UPPER HEIDELBERG NR IVANHOE,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.045,-37.767
45103,,,2799,AMIS BTN VISTA & BUCKLEY,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.86,-37.749
45104,,,3138,CANTERBURY/SURREY,INT,,,,,,,,OPERATIONAL,,,,,145.115,-37.828
45105,,,5301,PAKINGTON/NICHOLAS,INT,,,,,,,,OPERATIONAL,,,,,144.345,-38.156
45106,,,241,THOMPSON NR GLADESVILLE,POS,,,,,,,,OPERATIONAL,Bluetooth,,,,145.143,-38.069
45107,,,3639,OLD DANDENONG/BOURKE,INT,,,,,,,,OPERATIONAL,,,,,145.091,-37.94
45108,,,3405,DYNON/DOCK LINK,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,144.917,-37.802
45109,,,478,VIRGINIA NR STEPHENSONS,FLASH PX,,,,,,,,OPERATIONAL,,,,,145.129,-37.878
45110,,,2647,BOUNDARY/PLUMMER/SPENCER,INT,,,,,,,,OPERATIONAL,,,,,144.81,-37.816
45111,,,3760,MELBOURNE NR WILKINS,POS,,,,,,,,OPERATIONAL,"DIDO,PUFFIN,WCHAIR",,,,144.885,-37.846
45112,,,6682,GREY BTN FRANKLIN & WRIGHT,FLASH PX,,,,,,,,OPERATIONAL,,,,,146.54,-38.193
45113,,,6683,FRANKLIN NR POST OFFICE PLACE,FLASH PX,,,,,,,,OPERATIONAL,,,,,146.538,-38.195
45114,,,6684,SEYMOUR BTN FRANKLIN & CHURCH,FLASH PX,,,,,,,,OPERATIONAL,,,,,146.537,-38.196
45115,,,5670,NICHOLSON BTN RAYMOND & LOCHIEL,FLASH PX,,,,,,,,OPERATIONAL,,,,,148.454,-37.709
45116,,,3567,MURRUMBEENA/KANGAROO,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.065,-37.897
45117,,,304,FRANKSTON-DANDENONG/ABBOTTS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.212,-38.032
45118,,,3507,KOROROIT CREEK NR ADELINE,POS,,,,,,,,OPERATIONAL,Bluetooth,,,,144.882,-37.857
45119,,,401,NARRE WARREN NTH/ERNST WANKE,INT,,,,,,,,OPERATIONAL,"Bluetooth,SAFECAM,SRLC",,,,145.313,-37.997
45120,,,6408,WESTERN HWY/WILLIAMS/DUFF,INT,,,,,,,,OPERATIONAL,"Bluetooth,DIDO",,,,142.205,-36.726
45121,,,2670,FURLONG NR CAMPERDOWN,POS,,,,,,,,OPERATIONAL,,,,,144.823,-37.762
45122,,,2671,FURLONG NR FORD,POS,,,,,,,,OPERATIONAL,PELICAN,,,,144.829,-37.762
45123,,,2672,MCKECHNIE BTN MARSDEN & ENA,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.8,-37.745
45124,,,4654,VICTORIA/RIVER,INT,,,,,,,,OPERATIONAL,TRAM PRI,,,,145.013,-37.812
45125,,,757,YOUNG NR WELLS,FLASH PX,,,,,,,,OPERATIONAL,,,,,145.125,-38.144
45126,,,943,SPRINGVALE/SPOTLIGHT CENTRE,INT,,,,,,,,OPERATIONAL,,,,,145.156,-37.934
45127,,,445,PHE/OVERLAND,INT,,,,,,,,OPERATIONAL,,,,,145.301,-38.022
45128,,,308,POINT NEPEAN/HYGEIA,INT,,,,,,,,OPERATIONAL,DUST,,,,144.831,-38.371
45129,,,4515,LATROBE NR HARBOUR,POS,,,,,,,,OPERATIONAL,TRAM PRI,,,,144.946,-37.815
45130,,,5048,YARRA/EASTERN BEACH,INT,,,,,,,,OPERATIONAL,,,,,144.365,-38.145
45131,,,4527,WURUNDJERI/TELSTRA DOME N/E ENTRANCE,INT,,,,,,,,OPERATIONAL,,,,,144.947,-37.814
45132,,,3417,ELGIN/DRUMMOND,INT,,,,,,,,OPERATIONAL,,,,,144.969,-37.797
45133,,,539,MONASH FWY/BLACKBURN O/B,RAMP MTR,,,,,,,,OPERATIONAL,Bluetooth,,,,145.146,-37.895
45134,,,3409,OLYMPIC BLVD/RECTANGULAR STADIUM EAST AC,INT,,,,,,,,OPERATIONAL,EVP,,,,144.985,-37.824
45135,,,5238,OLD GEELONG/FIAT DEALERSHIP ENT,INT,,,,,,,,OPERATIONAL,DUST,,,,144.709,-37.879
45136,,,6334,ECHUCA-MOOROOPNA NR ANN,FLASH PX,,,,,,,,OPERATIONAL,,,,,145.356,-36.392
45137,,,6409,WESTERN HWY/WAWUNNA,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,142.196,-36.71
45138,,,2661,COBURNS/RICHARD,INT,,,,,,,,OPERATIONAL,,,,,144.566,-37.694
45139,,,2659,TAYLORS/CARBINE,INT,,,,,,,,OPERATIONAL,,,,,144.797,-37.728
45140,,,6681,BASS HWY/GRANTVILLE-GLEN ALVIE/PIER,INT,,,,,,,,OPERATIONAL,"DUST,PTS_SIGN",,,,145.53,-38.408
45141,,,5834,MIDLAND HWY (ALBERT) NR HERTFORD,POS,,,,,,,,OPERATIONAL,"Bluetooth,DUST",,,,143.841,-37.587
45142,,,5835,MIDLAND HWY NR VICTORIA,POS,,,,,,,,OPERATIONAL,"Bluetooth,DUST",,,,143.841,-37.599
45143,,,399,BERWICK-CRANBOURNE/BEMERSYDE (NTH),INT,,,,,,,,OPERATIONAL,,,,,145.34,-38.049
45144,,,3211,MCNAUGHTON NR TORTEVAL,POS,,,,,,,,OPERATIONAL,,,,,145.136,-37.929
45145,,,4557,BATMAN NR GATE 2 MELBOURNE PARK TENNIS C,POS,,,,,,,,OPERATIONAL,ASB WARN,,,,144.976,-37.82
45146,,,3548,CHURCH NR CARPENTER,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.995,-37.914
45147,,,3547,CHURCH NR ST ANDREWS,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.992,-37.912
45148,,,2648,HAMPSHIRE NR HARVESTER,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.832,-37.786
45149,,,389,MAROONDAH NR COMO,POS,,,,,,,,OPERATIONAL,,,,,145.37,-37.751
45150,,,402,O'SULLIVAN NR GLENWAY ARCADE,FLASH PX,,,,,,,,OPERATIONAL,,,,,145.165,-37.879
45151,,,3837,STANHOPE NR LORNE,POS,,,,,,,,OPERATIONAL,ASB WARN,,,,145.065,-37.827
45152,,,158,CANTERBURY/BUNNINGS HARDWARE ACCESS,INT,,,,,,,,OPERATIONAL,,,,,145.279,-37.829
45153,,,3009,ORMOND ESP NR PINE,POS,,,,,,,,OPERATIONAL,,,,,144.99,-37.887
45154,,,2646,COBURNS/BARRIES,INT,,,,,,,,OPERATIONAL,,,,,144.568,-37.688
45155,,,4637,CHESTERVILLE NR RADCLIFFE,POS,,,,,,,,OPERATIONAL,,,,,145.057,-37.959
45156,,,588,WICKLOW NR TOORAK,FLASH PX,,,,,,,,OPERATIONAL,,,,,145.28,-37.795
45157,,,6250,HOLDSWORTH/HOLMES/SANDHURST,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,144.267,-36.736
45158,,,6251,NAPIER NR TOMLINS ST BRIDGE,POS,,,,,,,,OPERATIONAL,"DUST,PELICAN",,,,144.289,-36.752
45159,,,2182,DONALD CAMERON/LINCOLN/THOMAS BRUNTON,INT,,,,,,,,OPERATIONAL,,,,,144.928,-37.631
45160,,,2813,COOPER/FREIGHT/REX,INT,,,,,,,,OPERATIONAL,,,,,144.963,-37.645
45161,,,2059,CAIRNLEA/WOODBURN,INT,,,,,,,,OPERATIONAL,,,,,144.79,-37.763
45162,,,3242,PLENTY/BUSH/DEVELOPMENT,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.08,-37.656
45163,,,2677,DUKE/SURREY,INT,,,,,,,,OPERATIONAL,,,,,144.849,-37.767
45164,,,5659,PHE/MCCULLOCH,INT,,,,,,,,OPERATIONAL,DIDO,,,,147.624,-37.828
45165,,,2893,MILLERS/BEURON,INT,,,,,,,,OPERATIONAL,,,,,144.849,-37.829
45166,,,3524,RACECOURSE NR PIN OAK,POS,,,,,,,,OPERATIONAL,"PELICAN,PUFFIN,TRAM PRI",,,,144.93,-37.788
45167,,,3485,PFW NB RAMPS/KOROROIT CREEK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,144.783,-37.844
45168,,,509,MONASH FWY/TINKS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.293,-38.002
45169,,,398,STH GIPPS'D HWY/HUON PARK/WENTWORTH,INT,,,,,,,,OPERATIONAL,AMBU LNK,,,,145.271,-38.074
45170,,,5271,SAYERS/MARQUANDS,INT,,,,,,,,OPERATIONAL,,,,,144.727,-37.852
45171,,,3723,MONASH/BLACKBURN RAMP SIGNALS IB,RAMP MTR,,,,,,,,OPERATIONAL,"Bluetooth,RAMP SGN",,,,145.143,-37.895
45172,,,5609,PHE NR PINE,POS,,,,,,,,OPERATIONAL,DUST,,,,147.068,-38.096
45173,,,391,STUD/CENTRE,INT,,,,,,,,OPERATIONAL,FIRE LNK,,,,145.235,-37.902
45174,,,756,MOOROODUC HWY/ROBINSONS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.139,-38.174
45175,,,2792,DALTON NR DAVID,POS,,,,,,,,OPERATIONAL,,,,,145.031,-37.673
45176,,,1046,ROYAL NR IEVERS,POS,,,,,,,,OPERATIONAL,"PUFFIN,TRAM PRI",,,,144.96,-37.782
45177,,,5109,VINES NR MARLO,POS,,,,,,,,OPERATIONAL,PELICAN,,,,144.328,-38.121
45178,,,5039,GHERINGHAP/MALOP/MERCER,INT,,,,,,,,OPERATIONAL,,,,,144.358,-38.147
45179,,,2397,KINGSWAY/SOUTHERN LINK,INT,,,,,,,,OPERATIONAL,TRAM PRI,,,,144.962,-37.828
45180,,,303,HALLAM/CORAL/FORDHOLM,INT,,,,,,,,OPERATIONAL,"PARTFCRT,SRLC",,,,145.267,-38.036
45181,,,6827,PHW (RAGLAN PDE)/MORRISS,INT,,,,,,,,OPERATIONAL,TIME CLK,,,,142.464,-38.367
45182,,,6828,PHW (RAGLAN PDE)/LAVEROCK,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,142.469,-38.369
45183,,,5231,SURF COAST HWY NR BEACH,POS,,,,,,,,OPERATIONAL,DIDO,,,,144.318,-38.327
45184,,,964,ABBOTTS/CLELANDS DEVELOPMENTS,INT,,,,,,,,OPERATIONAL,,,,,145.225,-38.033
45185,,,508,CLYDE/GREAVES/O'SHEA,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.338,-38.06
45186,,,5117,RYRIE NR JAMES,POS,,,,,,,,OPERATIONAL,PELICAN,,,,144.358,-38.149
45187,,,5118,RYRIE NR UNION,POS,,,,,,,,OPERATIONAL,PELICAN,,,,144.361,-38.15
45188,,,5881,MIDLAND HWY SKIPTON/DARLING/DRUMMOND,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,143.845,-37.576
45189,,,5119,MERCER NR GINN,POS,,,,,,,,OPERATIONAL,PELICAN,,,,144.355,-38.139
45190,,,5273,PFW/FORSYTH,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,144.737,-37.875
45191,,,2014,HIGH ST RD/TYNER,INT,,,,,,,,OPERATIONAL,,,,,145.245,-37.875
45192,,,107,MAROONDAH/KALLAY/BRENTNALL,INT,,,,,,,,OPERATIONAL,,,,,145.26,-37.793
45193,,,6814,HOPKINS HWY / HAYLEY / NORTHPOINT SC,INT,,,,,,,,OPERATIONAL,"Bluetooth,PARTFCRT",,,,142.493,-38.367
45194,,,4638,BOUNDARY / LOWER DANDENONG,POS,,,,,,,,OPERATIONAL,"Bluetooth,PUFFIN",,,,145.109,-37.986
45195,,,4438,LITTLE CHAPEL NR PRINCES,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.995,-37.849
45196,,,4442,BRAY NR GREY,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.995,-37.847
45197,,,6290,MIDLAND HWY/HOWARD,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,144.316,-36.705
45198,,,3741,PLENTY/MT COOPER,INT,,,,,,,,OPERATIONAL,TRAM PRI,,,,145.056,-37.704
45199,,,1011,ASCOT VALE/KENT,INT,,,,,,,,OPERATIONAL,,,,,144.923,-37.78
45200,,,2673,GLENGALA BTN SIMMIE & OLDFIELD,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.817,-37.79
45201,,,6235,LODDON VALLEY/SANDHURST,INT,,,,,,,,OPERATIONAL,"Bluetooth,DUST,PTS_SIGN",,,,144.259,-36.726
45202,,,4150,BURNLEY/BARKLY/CITYLINK OFF RAMPS,INT,,,,,,,,OPERATIONAL,"ASB WARN,Bluetooth",,,,145.006,-37.83
45203,,,803,WELLINGTON/TAYLORS,INT,,,,,,,,OPERATIONAL,"Bluetooth,FIRE LNK",,,,145.244,-37.927
45204,,,4558,OLYMPIC BLVD(SWAN)/TRAM ACCESS,INT,,,,,,,,OPERATIONAL,EVP,,,,144.987,-37.824
45205,,,2193,DONNYBROOK/HUME FWY NB RAMPS,INT,,,,,,,,OPERATIONAL,,,,,144.945,-37.539
45206,,,5164,BREAKWATER/FELLMONGERS,INT,,,,,,,,OPERATIONAL,,,,,144.368,-38.179
45207,,,507,NEPEAN HWY/STATION,INT,,,,,,,,OPERATIONAL,RAIL LNK,,,,145.121,-38.071
45208,,,3047,BUCKLEY/DICKSON,INT,,,,,,,,OPERATIONAL,BUS PRI,,,,144.874,-37.752
45209,,,6081,GVH/PINE/BRAUMAN,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.402,-36.357
45210,,,2352,NEPEAN HWY NR LATROBE,POS,,,,,,,,OPERATIONAL,,,,,145.065,-37.975
45211,,,5610,PHE/SALE-MAFFRA,INT,,,,,,,,OPERATIONAL,DUST,,,,147.069,-38.094
45212,,,3917,CHAPEL/PALERMO,INT,,,,,,,,OPERATIONAL,,,,,144.995,-37.842
45213,,,2519,PHW/CEMETERY,INT,,,,,,,,OPERATIONAL,,,,,144.86,-37.814
45214,,,3644,KINGSTON/BALL/ST ANDREWS,INT,,,,,,,,OPERATIONAL,,,,,145.084,-37.954
45215,,,6451,CALDER HWY/KARADOC,INT,,,,,,,,OPERATIONAL,"Bluetooth,DIDO",,,,142.166,-34.231
45216,,,4108,GLEN EIRA NR ST GEORGES,POS,,,,,,,,OPERATIONAL,,,,,145.005,-37.878
45217,,,2464,JOHNSTON O/H LANE E TRENERRY 14,OH LANE,,,,,,,,OPERATIONAL,,,,,145,-37.801
45218,,,6075,GVH (WYNDHAM) / VAUGHAN,INT,,,,,,,,OPERATIONAL,,,,,145.399,-36.383
45219,,,2589,HUME DRIVE/COPPERFIELD,INT,,,,,,,,OPERATIONAL,,,,,144.771,-37.71
45220,,,3759,NORTH NR HALL,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.885,-37.845
45221,,,1153,WHEELER NR WILSON,FLASH PX,,,,,,,,OPERATIONAL,,,,,145.348,-38.03
45222,,,1155,HAWTHORN NR AUTUMN,FLASH PX,,,,,,,,OPERATIONAL,,,,,145.24,-37.995
45223,,,1102,CANTERBURY/EASTLINK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,145.217,-37.832
45224,,,1103,BURWOOD HWY/EASTLINK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,145.211,-37.861
45225,,,1104,BORONIA/EASTLINK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,145.216,-37.846
45226,,,1123,DORSET/CLIPSAL,INT,,,,,,,,OPERATIONAL,,,,,145.287,-37.832
45227,,,1107,FERNTREE GULLY/EASTLINK,INT,,,,,,,,OPERATIONAL,"Bluetooth,RAMP SGN",,,,145.214,-37.904
45228,,,1181,HEATHERTON/LINK,INT,,,,,,,,OPERATIONAL,,,,,145.197,-37.968
45229,,,5218,BELLARINE HWY NR NELSON,POS,,,,,,,,OPERATIONAL,,,,,144.394,-38.171
45230,,,5219,CORIO-WAURN PONDS(SETTLEMENT) NR FRANCIS,POS,,,,,,,,OPERATIONAL,,,,,144.347,-38.182
45231,,,2635,MONASH NR WHITTY,POS,,,,,,,,OPERATIONAL,,,,,144.836,-37.789
45232,,,886,MAROONDAH NR RYLAND,POS,,,,,,,,OPERATIONAL,WCHAIR,,,,145.266,-37.79
45233,,,2636,MELTON HWY/VERONA,INT,,,,,,,,OPERATIONAL,,,,,144.796,-37.701
45234,,,2637,MELTON HWY/PARMELIA,INT,,,,,,,,OPERATIONAL,,,,,144.786,-37.699
45235,,,2638,MELTON HWY/KINGS,INT,,,,,,,,OPERATIONAL,"Bluetooth,SRLC",,,,144.781,-37.697
45236,,,2639,MELTON HWY/SHOPPING CENTRE ENT 2,INT,,,,,,,,OPERATIONAL,,,,,144.778,-37.697
45237,,,2640,MELTON HWY/MCCUBBIN,INT,,,,,,,,OPERATIONAL,"Bluetooth,FIRE LNK",,,,144.775,-37.696
45238,,,6315,NORTHERN HWY BTN FRASER/GILLIES,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.699,-36.362
45239,,,4729,PICKLES/LIARDET/RICHARDSON,INT,,,,,,,,OPERATIONAL,,,,,144.947,-37.841
45240,,,3525,FERGUSON BTW LYONS/BATH,FLASH PX,,,,,,,,OPERATIONAL,Bluetooth,,,,144.896,-37.859
45241,,,4528,BATMAN/MELB PARK NTH ACCESS,INT,,,,,,,,OPERATIONAL,ASB WARN,,,,144.976,-37.818
45242,,,4529,MELBOURNE PARK NTH ACCESS/FED SQ ACCESS,INT,,,,,,,,OPERATIONAL,ASB WARN,,,,144.976,-37.818
45243,,,5114,BARRABOOL/BELLE VUE,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,144.324,-38.172
45244,,,572,WARBURTON/HEALESVILLE-KOO WEE RUP,INT,,,,,,,,OPERATIONAL,"DIDO,PTS_SIGN,RADOUT",,,,145.531,-37.78
45245,,,530,MONASH/PHE,INT,,,,,,,,OPERATIONAL,"Bluetooth,RAMP SGN",,,,145.322,-38.028
45246,,,5027,MYERS/SWANSTON,INT,,,,,,,,OPERATIONAL,TELECOM,,,,144.366,-38.154
45247,,,517,BALLARTO NR GREENWOOD,POS,,,,,,,,OPERATIONAL,,,,,145.181,-38.116
45248,,,3868,BRIDGE NR VERITY,POS,,,,,,,,OPERATIONAL,"ASB WARN,EVP,PUFFIN,TRAM PRI",,,,144.993,-37.818
45249,,,962,WESTALL/ROSEBANK,INT,,,,,,,,OPERATIONAL,,,,,145.14,-37.941
45250,,,3664,TOORONGA NR BETHUNE,POS,,,,,,,,OPERATIONAL,,,,,145.046,-37.842
45251,,,2181,HUME/AUSTRAK,INT,,,,,,,,OPERATIONAL,FIRE LNK,,,,144.951,-37.638
45252,,,3145,CENTRE DANDENONG/CHIFLEY,INT,,,,,,,,OPERATIONAL,,,,,145.107,-37.972
45253,,,595,GREENS/SOUTH PARK DEVELOPMENT ACCESS,INT,,,,,,,,OPERATIONAL,,,,,145.202,-38.013
45254,,,6654,PRINCES/VINCENT,INT,,,,,,,,OPERATIONAL,DUST,,,,146.409,-38.24
45255,,,3949,MARTIN NR SPINK,FLASH PX,,,,,,,,OPERATIONAL,,,,,145.005,-37.897
45256,,,3188,Soldiers Rd/ Viewbright Rd/ Skylark Blvd,INT,,,,,,,,OPERATIONAL,Bike Det,,,,145.363,-38.082
45257,,,3147,LOWER DANDENONG/WOODLANDS,INT,,,,,,,,OPERATIONAL,,,,,145.118,-37.988
45258,,,767,DORSET/CHANDLER,INT,,,,,,,,OPERATIONAL,,,,,145.286,-37.86
45259,,,3394,MONASH ON RAMP NR PUNT,POS,,,,,,,,OPERATIONAL,ASB WARN,,,,144.988,-37.829
45260,,,316,HIGH NR VILLAGE,POS,,,,,,,,OPERATIONAL,,,,,145.11,-37.782
45261,,,2043,DONCASTER/WHITTENS,INT,,,,,,,,OPERATIONAL,,,,,145.133,-37.787
45262,,,6069,ARCHER/WILMOT/POPLAR,INT,,,,,,,,OPERATIONAL,DIDO,,,,145.41,-36.399
