OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI,LONG,LAT
49038,,,3092,BLUFF BETWEEN BALCOMBE AND KARRAKATTA,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.016,-37.975
49039,,,3461,Grimshaw Street / Flintoff Street,INT,,,,,,,,OPERATIONAL,,,,,145.105,-37.705
49040,,,1161,WHITEHALL ST NR BUNBURY,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,144.905,-37.803
49041,,,1162,DAVID MUNROE DR/STAINSBY CR,INT,,,,,,,,OPERATIONAL,,,,,144.931,-37.638
49042,,,3658,BELL/PENTRIDGE,INT,,,,,,,,OPERATIONAL,,,,,144.972,-37.742
49043,,,5134,GEELONG-BACCHUS MARSH/PRINCES HW (GRR),INT,,,,,,,,OPERATIONAL,Bluetooth,,,,144.358,-38.059
49044,,,986,MCCLELLAND/NORTH,INT,,,,,,,,OPERATIONAL,,,,,145.17,-38.159
49045,,,1513,ASHLEY STREET/RUPERT STREET,INT,,,,,,,,OPERATIONAL,,,,,144.862,-37.798
49046,,,1195,WESTALL/IKEA ACCESS,INT,,,,,,,,OPERATIONAL,,,,,145.143,-37.928
49047,,,3119,MIDDLEBOROUGH/CLARICE,INT,,,,,,,,OPERATIONAL,,,,,145.135,-37.836
49048,,,1200,VINEYARD/MCDOUGALL,INT,,,,,,,,OPERATIONAL,DIDO,,,,144.715,-37.589
49049,,,5233,PRINCES HWY NR FARM,POS,,,,,,,,OPERATIONAL,,,,,144.645,-37.908
49050,,,2682,MT DERRIMUT/ PARAMOUNT BLVD,INT,,,,,,,,OPERATIONAL,,,,,144.772,-37.788
49051,,,2818,COOPER/SCANLON,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,144.995,-37.649
49052,,,3373,HODDLE NR STANTON S/B,POS,,,,,,,,OPERATIONAL,"EVP,PUFFIN",,,,144.992,-37.804
49053,,,3374,HODDLE NR STANTON N/B,POS,,,,,,,,OPERATIONAL,"EVP,PUFFIN",,,,144.992,-37.804
49054,,,5270,TRIHOLM NR AVIATION,POS,,,,,,,,OPERATIONAL,"DIDO,PELICAN",,,,144.761,-37.867
49055,,,1074,COLLINS NR BATMAN,POS,,,,,,,,OPERATIONAL,,,,,144.95,-37.82
49056,,,1075,COLLINS NR SPENCER STATION,POS,,,,,,,,OPERATIONAL,,,,,144.953,-37.819
49057,,,2018,BURWOOD HWY/BUNNINGS,INT,,,,,,,,OPERATIONAL,,,,,145.196,-37.859
49058,,,2762,KINGS RD/WELLESLEY DV/PALMERSTON CR,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,144.784,-37.69
49059,,,2976,CALDER FWY/KINGS RD INT'CHG MELBOURNE BD,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,144.789,-37.685
49060,,,1028,FRANK-DANDY/KIRKHAM,INT,,,,,,,,OPERATIONAL,BUS PRI,,,,145.218,-38
49061,,,1177,WALKER/LANGHORNE,INT,,,,,,,,OPERATIONAL,,,,,145.215,-37.988
49062,,,1184,MCGREGOR/HENRY,INT,,,,,,,,OPERATIONAL,PARTFCRT,,,,145.472,-38.086
49063,,,1069,DOCKLANDS/SAINT MANGOS,INT,,,,,,,,OPERATIONAL,,,,,144.941,-37.814
49064,,,5184,SHARON NR ELLIS,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.3,-36.777
49065,,,2876,WESTERN HWY/CORNWALL,INT,,,,,,,,OPERATIONAL,,,,,144.843,-37.779
49066,,,1509,HIGH STREET/WOODGROVE SHOPPING CENTRE,INT,,,,,,,,OPERATIONAL,,,,,144.563,-37.685
